City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,hassi messaoud,31.6804,6.0729,25.92,18,0,2.06,DZ,1694835922
213,humaita,-7.5061,-63.0208,29.96,35,100,0.93,BR,1694836425
214,mogadishu,2.0371,45.3438,25.77,74,24,6.16,SO,1694836172
215,port augusta,-32.5,137.7667,30.22,17,0,2.22,AU,1694835829
216,garachico,28.7781,-17.7646,21.06,73,0,1.54,ES,1694836426
217,berezovyy,51.6667,135.7,20.08,24,3,3.74,RU,1694835927
218,kalmunai,7.4167,81.8167,30.39,59,88,2.63,LK,1694836426
219,vilyuchinsk,52.9306,158.4028,10.15,85,99,2.1,RU,1694835831
220,copala,16.65,-98.9833,25.88,87,100,2.01,MX,1694836426
221,oranjemund,-28.55,16.4333,12.14,85,92,4.04,NA,1694836427
222,verkhov'ye,52.8119,37.2425,11.35,70,79,2.96,RU,1694836427
223,kiruna,67.8557,20.2251,1.51,100,100,3.09,SE,1694836427
224,jayapura,-2.5333,140.7,30.66,81,81,1.98,ID,1694836428
225,hawalli,29.2833,47.9972,34.76,35,0,4.47,KW,1694836428
226,praia da vitoria,38.7333,-27.0667,20.14,56,40,7.6,PT,1694835882
227,elizabethtown,37.694,-85.8591,14.43,93,0,0.0,US,1694836428
228,bamboo flat,11.7,92.7167,29.05,79,75,3.6,IN,1694836428
229,copiapo,-27.3667,-70.3333,11.83,80,2,0.97,CL,1694836429
230,ivanteyevka,55.9711,37.9208,12.81,87,59,0.45,RU,1694836429
231,contai,21.7786,87.7536,30.11,75,60,3.73,IN,1694836429
232,carlsbad,33.1581,-117.3506,21.49,85,100,2.06,US,1694836164
233,nakhon nayok,14.1667,101.1,25.26,94,100,1.73,TH,1694836429
234,cromer,52.9312,1.2989,16.19,81,39,3.91,GB,1694836430
235,kudahuvadhoo,2.6708,72.8944,28.26,76,27,5.27,MV,1694835859
236,chardara,41.2547,67.9692,21.11,33,13,2.29,KZ,1694836430
237,fale old settlement,-9.3852,-171.2468,28.55,75,10,5.54,TK,1694835877
238,pangai,-19.8,-174.35,26.06,73,75,6.17,TO,1694836431
239,broome,42.2506,-75.833,11.76,93,17,1.65,US,1694836431
240,conception bay south,47.4999,-52.9981,20.53,97,100,0.89,CA,1694835862
241,gaigeturi,33.4644,126.3183,26.03,94,100,2.06,KR,1694836431
242,ibshaway,29.358,30.6814,22.29,75,0,3.93,EG,1694836431
243,kangding,30.0513,101.9603,22.31,60,33,2.24,CN,1694836432
244,tobelo,1.7284,128.0095,28.4,75,70,1.18,ID,1694835838
245,sao paulo de olivenca,-3.3783,-68.8725,24.87,85,96,1.04,BR,1694836432
246,fort mcmurray,56.7268,-111.381,15.77,51,0,4.12,CA,1694836433
247,talnakh,69.4865,88.3972,4.56,99,100,3.87,RU,1694835846
248,santa ana,33.7456,-117.8678,22.11,82,75,2.57,US,1694836156
249,vilyuysk,63.7553,121.6247,5.92,52,87,6.73,RU,1694836434
250,nabire,-3.3667,135.4833,28.12,77,100,1.04,ID,1694836434
251,lethem,3.3803,-59.7968,28.08,49,14,3.15,GY,1694836434
252,hermanus,-34.4187,19.2345,10.45,69,85,11.71,ZA,1694836434
253,whakatane,-37.9585,176.9854,18.82,76,11,1.34,NZ,1694836434
254,aral,40.5156,81.2636,23.65,28,1,10.23,CN,1694836435
255,lagoa,39.05,-27.9833,20.28,60,28,8.57,PT,1694836435
256,danjiangkou,32.5428,111.5086,29.27,55,7,2.36,CN,1694836435
257,san antonio de pale,-1.4014,5.6325,24.3,80,100,5.11,GQ,1694835895
258,trairi,-3.2778,-39.2689,25.9,81,74,6.16,BR,1694836160
259,palmer,42.1584,-72.3287,16.46,67,75,5.66,US,1694836436
260,bissau,11.8636,-15.5977,26.06,100,40,0.0,GW,1694836436
261,roma,43.2128,-75.4557,12.07,91,53,1.13,US,1694836164
262,urengoy,65.9667,78.3667,13.39,71,86,4.02,RU,1694836436
263,kavieng,-2.5744,150.7967,28.15,71,69,5.91,PG,1694836437
264,papao,-17.75,-149.55,24.82,81,60,9.1,PF,1694836437
265,mahina,-17.5065,-149.489,24.87,78,75,3.6,PF,1694835920
266,arkhangel'sk,64.5401,40.5433,5.4,87,82,0.59,RU,1694835869
267,levuka,50.1834,-105.4011,10.84,51,7,2.07,CA,1694836438
268,shimoda,34.6667,138.95,30.2,78,65,4.4,JP,1694836438
269,usinsk,65.9939,57.5281,7.03,88,100,6.14,RU,1694836438
270,port-gentil,-0.7193,8.7815,24.72,83,100,5.66,GA,1694836438
271,suntar,62.1444,117.6319,9.35,44,13,4.25,RU,1694836439
272,singaraja,-8.112,115.0882,28.87,63,84,2.02,ID,1694836439
273,amungan,15.3652,119.9582,29.21,74,42,2.95,PH,1694836439
274,enewetak,11.3474,162.3373,29.24,75,11,6.66,MH,1694836440
275,robore,-18.3333,-59.75,22.18,63,0,1.38,BO,1694836440
276,touros,-5.1989,-35.4608,24.81,81,96,5.37,BR,1694835757
277,midvagur,62.0511,-7.1939,2.46,87,20,0.51,FO,1694835863
278,brisas de zicatela,15.8369,-97.0419,26.29,61,0,2.06,MX,1694836440
279,saudarkrokur,65.7461,-19.6394,5.8,91,73,4.33,IS,1694835891
280,vorgashor,67.5833,63.95,6.1,75,100,4.72,RU,1694836441
281,bethanie,-26.4833,17.15,8.65,61,1,2.73,NA,1694836441
282,great dunmow,51.8723,0.3626,15.05,97,37,1.54,GB,1694836442
283,uturoa,-16.7333,-151.4333,25.48,77,98,7.86,PF,1694835858
284,phongsali,21.6833,102.1058,25.18,57,42,1.49,LA,1694836442
285,myrina,39.8797,25.0742,20.58,83,0,2.57,GR,1694836442
286,isangel,-19.55,169.2667,26.06,73,40,0.0,VU,1694836367
287,cururupu,-1.8283,-44.8683,25.52,81,13,2.82,BR,1694836443
288,kaiapoi,-43.3783,172.6401,17.19,41,100,9.77,NZ,1694836230
289,fortuna,40.5982,-124.1573,15.52,95,100,0.45,US,1694836443
290,polyarnyy,69.1989,33.4478,4.22,87,56,5.24,RU,1694836444
291,codrington,-38.2667,141.9667,20.65,59,0,7.87,AU,1694836444
292,quinte west,44.1834,-77.5662,13.15,83,0,0.0,CA,1694836444
293,east london,-33.0153,27.9116,14.26,55,95,9.26,ZA,1694835909
294,camayenne,9.535,-13.6878,26.67,81,99,2.43,GN,1694836445
295,sao mateus do sul,-25.8742,-50.3828,9.01,91,1,0.93,BR,1694836445
296,mount isa,-20.7333,139.5,30.87,18,0,4.63,AU,1694835933
297,queenstown,-31.8976,26.8753,8.68,61,13,5.88,ZA,1694836446
298,garissa,-0.4536,39.6401,23.12,76,50,5.69,KE,1694836446
299,abu al matamir,30.9102,30.1744,22.27,81,0,0.9,EG,1694836446
